circuit_name,description
hsa04014_STK4_backward,
hsa04014_RAP1A-RAP1B_backward,
hsa04014_RASSF5_backward,
hsa04014_TIAM1_backward,
hsa04014_P3R3URF-PIK3R3-PIK3CA-PIK3CB-PIK3CD-PIK3R1-PIK3R2-PIK3R3_backward,
hsa04014_AFDN_backward,
hsa04014_RAF1_backward,
hsa04014_RAPGEF5_backward,
hsa04014_RALGDS_backward,
hsa04014_PLCE1_backward,
hsa04014_RIN1_backward,
hsa04014_RALBP1_backward,
hsa04014_RAC1_backward,
hsa04014_PAK4-BUB1B-PAK6-PAK1-PAK2-PAK3-PAK6-PAK5_backward,
hsa04014_REL_backward,
hsa04014_KSR2-KSR1_backward,
hsa04014_BRAP_backward,
hsa04014_c-o-m-p-o-u-n-d_backward,
hsa04015_LCP2-FYB1-SKAP1_backward,
hsa04015_PRKCI-PRKCZ-PARD6A-PARD6G-PARD6B-PARD3_backward,
hsa04015_MAPK1-MAPK3_backward,
hsa04015_RAC1-RAC2-RAC3_backward,
hsa04015_MAPK14-MAPK11-MAPK13-MAPK12_backward,
hsa04015_ACTB-ACTG1_backward,
hsa04015_CDH1_backward,
hsa04015_RAP1A-RAP1B_backward,
hsa04015_RALA-RALB_backward,
hsa04015_ITGAL-ITGAM-ITGB1-ITGB2_backward,
hsa04015_GNAI1-GNAI2-GNAI3-GNAO1_backward,
hsa04015_AKT3-AKT1-AKT2_backward,
hsa04015_ITGA2B-ITGB3_backward,
hsa04015_THBS1_backward,
hsa04015_PLCE1_backward,
hsa04015_c-o-m-p-o-u-n-d_backward,
hsa04015_c-o-m-p-o-u-n-d_backward,
hsa04310_NFATC1-NFATC2-NFATC3-NFATC4_backward,
hsa04310_PRKCA-PRKCB-PRKCG_backward,
hsa04310_CAMK2A-CAMK2B-CAMK2D-CAMK2G_backward,
hsa04310_MAPK8-MAPK9-MAPK10_backward,
hsa04310_ROCK2_backward,
hsa04310_GPC4_backward,
hsa04310_VANGL2-VANGL1_backward,
hsa04310_MMP7_backward,
hsa04310_PPARD_backward,
hsa04310_CCND1-CCND2-CCND3_backward,
hsa04310_FOSL1_backward,
hsa04310_JUN_backward,
hsa04310_MYC_backward,
hsa04310_RBX1_backward,
hsa04310_CSNK2A1-CSNK2A2-CSNK2B-CSNK2A3_backward,
hsa04310_TPTEP2-CSNK1E-CSNK1E_backward,
hsa04310_ROR1-ROR2_backward,
hsa04310_RYK_backward,
hsa04310_RYK_backward,
hsa04310_LGR4-LGR6-LGR5_backward,
hsa04330_PTCRA_backward,
hsa04330_HES1-HES5_backward,
hsa04330_SNW1_backward,
hsa04330_DTX2-DTX3L-DTX1-DTX3-DTX4_backward,
hsa04330_HEY1-HEY2-HEYL_backward,
hsa04330_NRARP_backward,
hsa04630_MYC_backward,
hsa04630_BCL2_backward,
hsa04630_MCL1_backward,
hsa04630_PIM1_backward,
hsa04630_CCND1-CCND2-CCND3_backward,
hsa04630_CDKN1A_backward,
hsa04630_BCL2L1_backward,
hsa04630_AOX1_backward,
hsa04630_GFAP_backward,
hsa04630_PTPN11_backward,
hsa04630_RAF1_backward,
hsa04630_MTOR_backward,
hsa04064_TAB1-TAB2-TAB3-MAP3K7_backward,
hsa04064_IKBKG-CHUK-IKBKB_backward,
hsa04064_BCL2L1_backward,
hsa04064_BCL2_backward,
hsa04064_BIRC2-BIRC3_backward,
hsa04064_RIPK1_backward,
hsa04064_TRAF3_backward,
hsa04064_NFKB2_backward,
hsa04064_RELA_backward,
hsa04064_PLCG1_backward,
hsa04064_CARD10-CARD14-CARD11_backward,
hsa04064_TRAF3_backward,
hsa04064_TRAF3_backward,
hsa04064_NFKBIA_backward,
hsa04064_TNFAIP3_backward,
hsa04064_TRAF1-TRAF2_backward,
hsa04064_CXCL8_backward,
hsa04064_CCL13_backward,
hsa04064_CXCL12_backward,
hsa04064_PLAU_backward,
hsa04064_BCL2L1_backward,
hsa04064_BCL2L1_backward,
hsa04064_BCL2A1_backward,
hsa04064_PLCG2_backward,
hsa04064_BTK_backward,
hsa04064_CFLAR_backward,
hsa04064_BCL2A1_backward,
hsa04064_XIAP_backward,
hsa04064_GADD45G-GADD45A-GADD45B_backward,
hsa04064_IL1B_backward,
hsa04064_PTGS2_backward,
hsa04064_TNF_backward,
hsa04064_CCL4L1-CCL4-CCL4L2_backward,
hsa04064_VCAM1_backward,
hsa04064_CXCL1-CXCL2-CXCL3_backward,
hsa04064_CCL21_backward,
hsa04064_CCL19_backward,
hsa04064_TNFSF13B_backward,
hsa04064_ICAM1_backward,
hsa04064_NFKB2_backward,
hsa04668_TRADD_backward,
hsa04668_IKBKG_backward,
hsa04668_CREB3-CREB1-ATF2-ATF6B-CREB3L4-ATF4-CREB3L2-CREB3L3-CREB3L1-CREB5_backward,
hsa04668_CEBPB_backward,
hsa04668_FOS-JUN_backward,
hsa04668_AKT3-AKT1-AKT2_backward,
hsa04668_BAG4_backward,
hsa04668_PGAM5_backward,
hsa04668_DNM1L_backward,
hsa04668_CHUK_backward,
hsa04668_NFKB1-RELA_backward,
hsa04668_JUN_backward,
hsa04668_MAPK14-MAPK11-MAPK13-MAPK12_backward,
hsa04668_IFNB1_backward,
hsa04668_CASP7_backward,
hsa04668_CASP3_backward,
hsa04668_FRMD8_backward,
hsa04066_VEGFA_backward,
hsa04066_CREBBP-EP300_backward,
hsa04066_HIF1A_backward,
hsa04066_SLC2A1_backward,
hsa04066_LDHAL6A-LDHA-LDHB-LDHC-LDHAL6B_backward,
hsa04066_PDK1_backward,
hsa04066_PDHA1-PDHA2-PDHB_backward,
hsa04066_HK1-HK2-HK3-HKDC1_backward,
hsa04066_PFKL-PFKM-PFKP_backward,
hsa04066_GAPDH_backward,
hsa04066_ALDOA-ALDOB-ALDOC_backward,
hsa04066_ENO1-ENO2-ENO3_backward,
hsa04066_PGK1-PGK2_backward,
hsa04066_PFKFB3_backward,
hsa04066_EPO_backward,
hsa04066_TF_backward,
hsa04066_TFRC_backward,
hsa04066_FLT1_backward,
hsa04066_EGF_backward,
hsa04066_SERPINE1_backward,
hsa04066_ANGPT1-ANGPT2-ANGPT4_backward,
hsa04066_TEK_backward,
